CirculatingSupply,MktCapBTC,MktCapUSD,Names,Platform,PricesBTC,PricesUSD,TotalSupply,Vol24BTC,Vol24USD,Marketcap Ratio,Circulating Ratio
" 85,978,873.00 "," 5,717.71 "," 86,137,543.33 ",agrello-delta,ETH, 0.00004389 , 0.661218 ," 130,271,020.04 ", 175.22 ," 2,639,710.00 ",3.065%,66%
" 4,523,098.87 ", 178.80 ," 2,693,701.68 ",crystal-clear,ETH, 0.00002582 , 0.389035 ," 6,924,060.00 ", 12.69 ," 191,120.00 ",7.095%,65%
" 40,000,000.00 "," 6,346.88 "," 95,616,250.00 ",blocktix,ETH, 0.00010155 , 1.529860 ," 62,500,000.00 ", 343.95 ," 5,181,570.00 ",5.419%,64%
" 45,079,785.00 ", 993.96 ," 14,969,377.80 ",startcoin,, 0.00001404 , 0.211485 ," 70,782,220.00 ", 31.26 ," 470,780.00 ",3.145%,64%
" 1,286,337.01 "," 1,061.03 "," 15,979,441.98 ",innova,, 0.00052105 , 7.847150 ," 2,036,337.01 ", 28.09 ," 423,088.00 ",2.648%,63%
" 598,749.55 ", 919.85 ," 13,853,261.44 ",crowdcoin,, 0.00096954 , 14.601600 ," 948,749.55 ", 37.86 ," 570,171.00 ",4.116%,63%
" 1,487,819.03 ", 119.85 ," 1,805,036.96 ",pioneer-coin,, 0.00005029 , 0.757384 ," 2,383,252.03 ", 7.40 ," 111,466.00 ",6.175%,62%
" 405,002,639.00 "," 5,896.06 "," 88,824,501.52 ",snovio,ETH, 0.00000906 , 0.136416 ," 651,129,644.00 ", 484.96 ," 7,305,980.00 ",8.225%,62%
" 318,057,046.08 ", 272.11 ," 4,098,121.35 ",campuscoin,, 0.00000053 , 0.007911 ," 518,057,046.08 ", 17.33 ," 261,019.00 ",6.369%,61%
" 63,258,957.73 "," 3,301.07 "," 49,730,824.00 ",coss,ETH, 0.00003174 , 0.478181 ," 104,000,000.00 ", 76.96 ," 1,159,340.00 ",2.331%,61%
" 3,444,952.55 ", 376.82 ," 5,676,813.62 ",dai,ETH, 0.00006610 , 0.995736 ," 5,701,123.21 ", 35.95 ," 541,531.00 ",9.539%,60%
" 1,524,686.10 ", 19.75 ," 297,420.65 ",beatcoin,, 0.00000782 , 0.117805 ," 2,524,686.10 ", 0.56 ," 8,461.76 ",2.845%,60%
" 14,400,000.01 ", 813.19 ," 12,250,680.00 ",upfiring,ETH, 0.00003388 , 0.510445 ," 24,000,000.01 ", 19.43 ," 292,660.00 ",2.389%,60%
" 12,000,000.00 "," 1,537.54 "," 23,163,200.00 ",aeron,ETH, 0.00007688 , 1.158160 ," 20,000,000.00 ", 301.31 ," 4,539,310.00 ",19.597%,60%
" 600,000.00 ", 530.68 ," 7,994,770.00 ",kolion,WAVES, 0.00053068 , 7.994770 ," 1,000,000.00 ", 83.24 ," 1,254,090.00 ",15.686%,60%
" 6,000,000.00 "," 3,249.35 "," 48,951,700.00 ",aventus,ETH, 0.00032494 , 4.895170 ," 10,000,000.00 ", 139.45 ," 2,100,760.00 ",4.291%,60%
" 19,429,024.22 "," 4,255.81 "," 64,113,952.83 ",mysterium,ETH, 0.00013122 , 1.976790 ," 32,433,365.62 ", 114.10 ," 1,718,960.00 ",2.681%,60%
" 1,296,590.55 "," 5,619.78 "," 84,662,432.79 ",numeraire,ETH, 0.00244701 , 36.864400 ," 2,296,590.55 ", 123.91 ," 1,866,630.00 ",2.205%,56%
" 550,358,603.00 "," 4,096.82 "," 61,718,700.00 ",foldingcoin,XCP, 0.00000410 , 0.061719 ," 1,000,000,000.00 ", 147.31 ," 2,219,220.00 ",3.596%,55%
" 18,582,932.50 "," 5,011.24 "," 75,494,683.70 ",publica,ETH, 0.00014832 , 2.234420 ," 33,787,150.00 ", 166.89 ," 2,514,160.00 ",3.330%,55%
" 33,472,910.75 ", 86.38 ," 1,300,965.85 ",amsterdamcoin,, 0.00000133 , 0.020095 ," 64,740,451.83 ", 1.84 ," 27,696.40 ",2.129%,52%
" 5,100,000.00 ", 19.98 ," 300,986.00 ",exchangen,ETH, 0.00000200 , 0.030099 ," 10,000,000.00 ", 0.95 ," 14,330.20 ",4.761%,51%
" 274,621,750.00 ", 969.59 ," 14,602,380.40 ",dotcoin,, 0.00000180 , 0.027060 ," 539,621,750.00 ", 55.91 ," 842,071.00 ",5.767%,51%
" 1,500,000.00 ", 87.20 ," 1,313,193.03 ",ethereum-dark,, 0.00002887 , 0.434852 ," 3,019,862.00 ", 10.62 ," 160,011.00 ",12.185%,50%
" 3,555,241.99 ", 881.14 ," 13,270,373.01 ",regalcoin,, 0.00011861 , 1.786330 ," 7,428,847.42 ", 40.32 ," 607,279.00 ",4.576%,48%
" 114,744,000.00 "," 1,553.30 "," 23,400,552.00 ",eroscoin,ETH, 0.00000647 , 0.097502 ," 240,000,000.00 ", 44.62 ," 672,264.00 ",2.873%,48%
" 780,124,964.00 ", 23.75 ," 357,717.92 ",vaperscoin,, 0.00000001 , 0.000219 ," 1,635,124,964.00 ", 1.02 ," 15,379.50 ",4.299%,48%
" 1,356,645,469.99 ", 57.13 ," 860,441.61 ",hempcoin-hmp,, 0.00000002 , 0.000301 ," 2,856,645,469.99 ", 1.26 ," 18,948.90 ",2.202%,47%
" 7,906,396.53 "," 6,218.92 "," 93,658,900.82 ",expanse,, 0.00036784 , 5.539850 ," 16,906,396.53 ", 168.66 ," 2,540,130.00 ",2.712%,47%
" 744,265.71 ", 1.02 ," 15,376.14 ",concoin,, 0.00000064 , 0.009639 ," 1,595,265.71 ", 0.02 , 337.83 ,2.197%,47%
" 13,532,750.00 ", 3.43 ," 51,697.86 ",coimatic-2,, 0.00000011 , 0.001716 ," 30,132,750.00 ", 0.08 ," 1,243.04 ",2.404%,45%
" 1,887,926.38 "," 1,598.04 "," 24,067,055.00 ",dynamic,, 0.00034427 , 5.184820 ," 4,641,830.38 ", 178.75 ," 2,691,980.00 ",11.185%,41%
" 45,166,200.00 "," 5,318.79 "," 80,127,758.56 ",blockmason,ETH, 0.00004579 , 0.689813 ," 116,158,667.00 ", 251.86 ," 3,794,300.00 ",4.735%,39%
" 16,559,041.33 ", 78.77 ," 1,186,366.01 ",dfscoin,, 0.00000175 , 0.026363 ," 45,000,834.92 ", 1.66 ," 25,007.10 ",2.108%,37%
" 5,546,754.00 ", 61.12 ," 920,445.57 ",eryllium,, 0.00000393 , 0.059205 ," 15,546,754.00 ", 1.88 ," 28,327.70 ",3.078%,36%
" 20,882,537.84 "," 4,077.14 "," 61,422,600.00 ",blackmoon-crypto,ETH, 0.00006795 , 1.023710 ," 60,000,000.00 ", 116.67 ," 1,757,580.00 ",2.861%,35%
" 115,499,623.42 ", 83.99 ," 1,264,940.35 ",rimbit,, 0.00000021 , 0.003215 ," 393,459,356.42 ", 3.45 ," 51,916.60 ",4.104%,29%
" 16,626.64 ", 3.00 ," 45,153.87 ",enigma,, 0.00004500 , 0.677715 ," 66,626.64 ", 0.36 ," 5,440.74 ",12.049%,25%
" 11,671,310.00 ", 294.55 ," 4,437,460.00 ",network-token,ETH, 0.00000589 , 0.088749 ," 50,000,000.00 ", 6.15 ," 92,670.00 ",2.088%,23%
" 1,148,324.05 ", 18.94 ," 285,281.20 ",argus,, 0.00000365 , 0.054921 ," 5,194,373.05 ", 0.70 ," 10,526.50 ",3.690%,22%
" 771,875.86 "," 2,646.70 "," 39,860,052.57 ",luxcoin,, 0.00070169 , 10.567700 ," 3,771,875.86 ", 73.72 ," 1,110,290.00 ",2.785%,20%
" 12,029,946.51 "," 4,656.58 "," 70,129,543.52 ",nubits,, 0.00006619 , 0.996843 ," 70,351,643.66 ", 284.58 ," 4,285,920.00 ",6.111%,17%
" 28,940,332.97 ", 351.86 ," 5,299,093.93 ",litebitcoin,, 0.00000204 , 0.030704 ," 172,585,873.90 ", 12.64 ," 190,380.00 ",3.593%,17%
" 12,000,000.00 "," 3,066.69 "," 46,185,381.23 ",eboostcoin,, 0.00003067 , 0.461900 ," 99,990,000.50 ", 70.06 ," 1,055,140.00 ",2.285%,12%
