,AvailableSupply,BTCPrice,CMCname,Change1h,Change24h,Change7d,MaxSupply,Mcap,Symbol,TotalSupply,USDPrice,Vol24h,bctpages,lastentry,Algo,Network,Exchange,Exchange,Exchange,Exchange
atmos,100362700.0,0.00001545,atmos,8.04,6.46,11.09,,22163496.0,ATMS,110362700.0,0.220834,46775.9,88,"January 12, 2018, 12:57:24 PM",Scrypt,POS,Cryptopia,,,
atn,,0.00007662,atn,-7.98,,,,,ATN,210000000.0,1.09639,532003.0,0,0,,,,,,
atomic-coin,13631155.0,0.00001148,atomic-coin,1.04,10.72,7.61,252000000.0,2244397.0,ATOM,13631155.0,0.164652,28014.5,15,<b>Today</b> at 02:55:11 AM,Scrypt,Hybrid,Cryptopia,,,
attention-token-of-media,4945153858.0,0.00000251,attention-token-of-media,-3.58,13.79,67.54,,177634872.0,ATM,10000000000.0,0.035921,728625.0,0,0,,,,,,
audiocoin,845735568.0,0.00000276,audiocoin,7.23,41.59,326.23,,33321220.0,ADC,845735568.0,0.0393991,688282.0,24,"January 12, 2018, 10:38:31 AM",Scrypt,Hybrid,Cryptopia,,,
augur,11000000.0,0.00742072,augur,0.29,0.35,44.49,,1167573000.0,REP,11000000.0,106.143,13107600.0,0,0,Scrypt,POW,Cryptopia,,,Bittrex
auroracoin,8658139.0,0.00013417,auroracoin,0.95,10.94,-0.31,,16609168.0,AUR,8658139.0,1.91833,278032.0,52,"January 10, 2018, 08:47:59 PM",Scrypt,POW,Cryptopia,,,Bittrex
aurumcoin,297225.0,0.00144385,aurumcoin,18.84,82.67,160.54,300000.0,6154849.0,AU,297225.0,20.7077,46245.0,36,"January 04, 2018, 04:07:59 PM",SHA256,POW,Cryptopia,,,
authorship,80000000.0,0.00000380,authorship,10.7,73.4,-23.27,,4360616.0,ATS,100000000.0,0.0545077,237125.0,181,"September 17, 2017, 06:57:17 PM",,,,,,
autonio,65828135.0,0.00004365,autonio,5.02,45.73,110.74,,41016853.0,NIO,220466789.0,0.62309,275731.0,18,"January 12, 2018, 08:21:07 PM",,,,,,
avatarcoin,,0.00000506,avatarcoin,-0.11,5.64,19.72,,,AV,,0.0723551,89.6462,7,"January 23, 2016, 02:03:52 PM",,,,,,
aventus,6000000.0,0.00039155,aventus,0.47,2.85,13.93,,33536340.0,AVT,10000000.0,5.58939,1339290.0,9,"July 08, 2017, 04:05:06 AM",,,,,,
avoncoin,,0.00000014,avoncoin,-7.66,-26.2,173.69,,,ACN,,0.00200153,3032.58,0,0,,,,,,
axiom,,0.00000143,axiom,-0.16,6.38,-13.55,,,AXIOM,,0.0204482,21.3453,150,"December 23, 2017, 08:04:47 PM",,,,,,
b2bx,16440941.0,0.00007999,b2bx,2.57,4.14,51.17,,18797750.0,B2B,19822337.0,1.14335,84346.2,40,"<span class=""edited"" title=""Last edit: January 11, 2018, 08:07:05 PM by Mr. trader"">January 11, 2018, 07:12:08 PM</span>",,,,,,
b3coin,497708582.0,0.00000001,b3coin,0.07,6.13,-48.9,2000000000.0,71157.0,B3,620510868.0,0.000142969,821658.0,217,<b>Today</b> at 03:19:10 AM,Scrypt,POS,Cryptopia,,,
bancor,40772871.0,0.00065704,bancor,1.62,11.13,30.36,,383185069.0,BNT,79384422.0,9.39804,8509090.0,278,<b>Today</b> at 12:43:46 AM,,,,,Binance,Bittrex
bankcoin,10291781.0,0.00000820,bankcoin,2.48,0.19,-36.65,,1206217.0,B@,25000000.0,0.117202,1769.43,0,0,,,,,,
basic-attention-token,1000000000.0,0.00005247,basic-attention-token,0.69,14.71,31.54,,750462000.0,BAT,1500000000.0,0.750462,32842400.0,0,0,Scrypt,POW,Cryptopia,,Binance,Bittrex
bastonet,,0.00000025,bastonet,24.8,19.59,166.38,,,BSN,50000000.0,0.00357416,2744.18,0,0,,,,,,
bata,4991825.0,0.00006078,bata,6.03,12.94,48.78,10000000.0,4351758.0,BTA,4991825.0,0.871777,27080.7,10,"January 12, 2018, 02:39:39 PM",Scrypt,Hybrid,Cryptopia,,,
batcoin,,0.000000002,batcoin,,,7.02,,,BAT,,0.0000307066,,0,0,,,,,,
bcap,10000000.0,0.0002527,bcap,1.23,-11.47,-12.81,,36073100.0,BCAP,10000000.0,3.60731,29012.5,30,"May 29, 2017, 05:58:25 PM",,,,,,
bean-cash,2311154000.0,0.00000165,bean-cash,2.22,14.04,6.86,,54287390.0,BITB,2311154000.0,0.0234893,1669150.0,150,<b>Today</b> at 02:02:07 AM,,,,,,
