,AvailableSupply,BTCPrice,CMCname,Change1h,Change24h,Change7d,MaxSupply,Mcap,Symbol,TotalSupply,USDPrice,Vol24h,bctpages,lastentry,Algo,Network,Exchange,Exchange,Exchange,Exchange
espers,20935826505.0,0.00000010,espers,2.35,10.03,21.21,50000000000.0,29883589.0,ESP,20935826505.0,0.00142739,410122.0,780,<b>Today</b> at 01:28:05 AM,,,,,,
eternity,4122329.0,0.00003530,eternity,3.42,-2.17,26.04,,2087976.0,ENT,4122329.0,0.506504,18350.2,47,<b>Today</b> at 01:31:58 AM,,,,,,
ethbet,8502500.0,0.00002642,ethbet,-2.78,-7.28,95.74,,3223621.0,EBET,10000000.0,0.379138,12309.0,11,"January 07, 2018, 09:36:56 PM",,,,,,
ethbits,1391604.0,0.00039053,ethbits,3.82,1.52,31.65,,7802986.0,ETBS,1634691.0,5.60719,8832.94,97,"January 12, 2018, 10:09:55 AM",,,,,,
ether-for-the-rest-of-the-world,5762000.0,0.00000302,ether-for-the-rest-of-the-world,,,35.11,,253254.0,E4ROW,5762000.0,0.0439524,,6,"January 12, 2018, 08:29:22 PM",,,,,,
ethereum,96943031.0,0.0903285,ethereum,1.4,11.87,28.63,,125253304584,ETH,96943031.0,1292.03,5266980000.0,861,"January 12, 2018, 12:26:12 PM",Ethash,POW,Cryptopia,Kucoin,Binance,Bittrex
ethereum-blue,33509711.0,0.00011419,ethereum-blue,10.37,9.31,111.63,42000000.0,54621834.0,BLUE,42000000.0,1.63003,282531.0,97,<b>Today</b> at 02:16:56 AM,,,,,,
ethereum-classic,99074050.0,0.00255296,ethereum-classic,0.74,12.18,-0.41,,3617857362.0,ETC,99074050.0,36.5167,539872000.0,372,"January 12, 2018, 09:56:08 PM",Dagger,POW,Cryptopia,Kucoin,Binance,Bittrex
ethereum-dark,1500000.0,0.00006058,ethereum-dark,-15.79,88.52,128.44,4200000.0,1298975.0,ETHD,3019862.0,0.865983,1943730.0,722,<b>Today</b> at 02:12:39 AM,None,Asset,Cryptopia,,,
ethereum-gold,12000000.0,0.00002808,ethereum-gold,-1.75,121.91,219.15,,4832304.0,ETG,24000000.0,0.402692,870077.0,30,<b>Today</b> at 01:50:51 AM,,,,,,
ethereum-lite,,0.00005890,ethereum-lite,-6.16,59.24,151.15,,,ELITE,1000000.0,0.842763,112562.0,66,"January 12, 2018, 09:51:14 PM",,,,,,
ethereum-movie-venture,6566666.0,0.00003069,ethereum-movie-venture,1.35,-37.37,74.18,,2891953.0,EMV,6666666.0,0.440399,3668.03,0,0,,,,,,
ethereumcash,14100000.0,0.00003837,ethereumcash,-29.45,-45.49,856.78,,7768240.0,ECASH,15000000.0,0.550939,2910850.0,120,"October 26, 2017, 08:17:53 PM",,,,,,
etheriya,1581531.0,0.00019028,etheriya,1.93,0.13,140.16,100000000.0,4315887.0,RIYA,1861531.0,2.72893,2076.11,23,"January 02, 2018, 05:27:03 AM",Scrypt,POW,Cryptopia,,,
etheroll,7001623.0,0.00020974,etheroll,3.66,9.31,3.44,7001622.0,20990095.0,DICE,7001623.0,2.99789,27119.1,0,0,,,,,,
etherparty,485146253.0,0.00002472,etherparty,1.04,-8.34,7.53,,171333765.0,FUEL,1000000000.0,0.353159,18035100.0,42,"January 12, 2018, 06:42:45 PM",Scrypt,POW,Cryptopia,,Binance,
ethgas,10157540.0,0.00000592,ethgas,-0.42,-3.96,248.32,,859395.0,EGAS,13792050.0,0.0846066,16764.1,49,<b>Today</b> at 03:12:01 AM,,,,,,
ethlend,1016941081.0,0.00002096,ethlend,0.34,9.49,29.94,,304916563.0,LEND,1299999942.0,0.299837,20549900.0,19,"January 12, 2018, 12:45:33 PM",,,,Kucoin,Binance,
ethos,75401968.0,0.00058759,ethos,3.69,7.2,-7.41,,633725644.0,ETHOS,222295208.0,8.40463,6280400.0,54,"January 12, 2018, 06:30:43 PM",,,,,,
eurocoin,12416554.0,0.00000532,eurocoin,0.84,17.37,13.61,,943875.0,EUC,12416554.0,0.0760175,4470.76,8,"January 12, 2018, 11:01:37 PM",SHA256,POW,Cryptopia,,,
europecoin,9978703.0,0.00007957,europecoin,4.23,14.52,6.59,32000000.0,11352471.0,ERC,9978703.0,1.13767,89667.2,208,"January 12, 2018, 10:02:59 PM",,,,,,Bittrex
eusd,,0.00000013,eusd,0.22,16.65,393.46,,,EUSD,324459463.0,0.0019179,288.329,0,0,,,,,,
eventchain,,0.00003185,eventchain,5.21,7.53,33.1,,,EVC,84000000.0,0.455315,3852.73,5,"September 05, 2017, 08:15:00 AM",,,,,,
everex,16500000.0,0.00029696,everex,0.93,4.36,16.47,,69944325.0,EVX,25000000.0,4.23905,3068070.0,0,0,,,,Kucoin,Binance,
evergreencoin,13321301.0,0.00005173,evergreencoin,1.66,16.0,9.39,,9894942.0,EGC,13321301.0,0.742791,116291.0,25,<b>Today</b> at 12:38:54 AM,POS,POS,Cryptopia,,,Bittrex
everus,,0.00003485,everus,11.41,5.69,17.51,,,EVR,1000000000.0,0.498199,6453.41,9,"January 12, 2018, 04:56:20 AM",None,Asset,Cryptopia,,,
evil-coin,21020383.0,0.00000416,evil-coin,-7.6,20.78,56.17,,1249950.0,EVIL,21020383.0,0.0594637,8134.91,25,"January 10, 2018, 06:55:32 AM",X11,POS,Cryptopia,,,
evotion,3188789.0,0.00001249,evotion,3.76,15.25,76.11,,569594.0,EVO,3188789.0,0.178624,4892.57,4,"January 11, 2018, 12:08:41 PM",SHA256,Hybrid,Cryptopia,,,
exchange-union,2000000.0,0.000717,exchange-union,0.57,6.08,-10.95,,20496800.0,XUC,3000000000.0,10.2484,740729.0,14,"January 05, 2018, 04:01:24 PM",,,,,,
exchangen,5100000.0,0.00000500,exchangen,13.57,100.57,125.39,,363988.0,EXN,10000000.0,0.0713702,105101.0,59,"January 12, 2018, 06:39:44 PM",,,,,,
exclusivecoin,4413365.0,0.00024619,exclusivecoin,0.2,39.19,23.35,,15534559.0,EXCL,4413365.0,3.51989,3335140.0,42,"January 11, 2018, 03:47:14 PM",,,,,,Bittrex
expanse,7906397.0,0.00061507,expanse,3.2,25.28,33.08,,69418794.0,EXP,16906397.0,8.78008,3654510.0,329,"January 12, 2018, 07:54:03 PM",Dagger,POW,Cryptopia,,,Bittrex
experience-points,210722253023,0.00000020,experience-points,5.3,7.86,-44.42,,603320990.0,XP,245754020778,0.00286311,5260440.0,27,<b>Today</b> at 01:40:56 AM,,,,,,
exrnchain,,0.000000007,exrnchain,5.73,50.84,100.13,,,EXRN,100000000000,0.000105614,79523.4,0,0,,,,,,
faceblock,,0.00000090,faceblock,0.22,9.49,247.22,,,FBL,10000000.0,0.012859,77.2311,26,"December 15, 2017, 06:28:59 PM",,,,,,
facecoin,,0.00000090,facecoin,0.22,37.0,42.75,,,FC,20000000.0,0.0128718,317.935,2,"October 31, 2017, 07:25:46 AM",,,,,,
factom,8745102.0,0.00439937,factom,0.72,15.36,2.58,,550303908.0,FCT,8745102.0,62.9271,20457500.0,452,"January 11, 2018, 04:40:07 PM",Scrypt,POW,Cryptopia,,,Bittrex
faircoin,53193831.0,0.00007577,faircoin,3.63,8.99,-4.97,,57537108.0,FAIR,53193831.0,1.08165,102743.0,185,"January 12, 2018, 11:40:38 PM",,,,,,Bittrex
fairgame,,0.00000768,fairgame,7.57,-26.77,,,,FAIR,,0.109767,2240430.0,0,0,,,,,,
fantomcoin,6794856.0,0.00003100,fantomcoin,2.03,12.59,-17.95,,3022393.0,FCN,6794856.0,0.444806,7264.97,0,0,Other,POP,Cryptopia,,,
fapcoin,,0.00000057,fapcoin,3.01,70.96,490.38,,,FAP,400022341.0,0.00809006,27565.6,0,0,,,,,,
farad,132022653.0,0.00000704,farad,11.47,6.73,-4.29,,13283591.0,FRD,200000000.0,0.100616,48808.6,12,"January 04, 2018, 09:29:10 PM",,,,,,
fargocoin,,0.00072251,fargocoin,-0.0,16.46,-1.25,,,FRGC,507184937.0,10.3259,1610860.0,0,0,,,,,,
farstcoin,,,farstcoin,,,,,,FRCT,,,,85,"January 12, 2018, 08:50:46 PM",,,,,,
fastcoin,156913424.0,0.00000169,fastcoin,0.66,-8.3,7.71,165888000.0,3669012.0,FST,156913424.0,0.0233824,46025.9,99,<b>Today</b> at 03:02:36 AM,Scrypt,POW,Cryptopia,,,
fazzcoin,,0.00000209,fazzcoin,-22.32,-35.11,-10.07,,,FAZZ,1052496944.0,0.0299105,7057.99,3,"November 24, 2017, 03:43:17 AM",None,POS,Cryptopia,,,
feathercoin,188161080.0,0.00003538,feathercoin,0.82,11.84,-5.35,336000000.0,95025861.0,FTC,188161080.0,0.505024,1492350.0,173,"January 12, 2018, 10:28:03 PM",NeoScrypt,POW,Cryptopia,,,Bittrex
fedoracoin,443168182458,0.000000007,fedoracoin,3.03,21.51,3.29,,43445904.0,TIPS,443168182458,0.0000980348,70628.9,85,"January 09, 2018, 06:04:23 AM",,,,,,
fidentiax,,0.00011962,fidentiax,-2.54,62.62,285.97,,,FDX,130000000.0,1.71161,244220.0,17,"January 12, 2018, 09:43:11 PM",,,,,,
filecoin,,0.00191132,filecoin,0.61,16.71,16.4,,,FIL,,27.3163,1055340.0,3,<b>Today</b> at 12:56:31 AM,,,,,,
fimkrypto,577004618.0,0.00000041,fimkrypto,0.07,6.13,-13.98,,3404500.0,FIMK,886395300.0,0.0059003,2.26492,97,"December 18, 2017, 05:49:58 PM",,,,,,
fincoin,12878667.0,0.00000613,fincoin,-15.9,4.08,-10.84,,1129330.0,FNC,1812878667.0,0.08769,857.09,2,"December 07, 2017, 12:03:50 PM",,,,,,
firecoin,98412.0,0.00022005,firecoin,-0.2,2.54,0.43,,308788.0,FIRE,98412.0,3.13771,282.058,11,"December 25, 2017, 04:14:52 PM",,,,,,
fireflycoin,,0.00000003,fireflycoin,-0.11,-17.91,48.79,,,FFC,,0.0004289,3604.54,0,0,SHA256,POW,Cryptopia,,,
first-bitcoin,,0.00000100,first-bitcoin,-1.52,1.27,-27.13,,,BIT,20707629255.0,0.0142994,483.65,0,0,,,,,,
first-bitcoin-capital,,0.00001097,first-bitcoin-capital,,0.95,-9.04,,,BITCF,3415923.0,0.14999,,0,0,,,,,,
firstblood,85558371.0,0.00010957,firstblood,0.02,12.79,-4.7,,133908261.0,1ST,93468691.0,1.56511,4837540.0,57,"January 11, 2018, 08:51:17 PM",,,,,,Bittrex
firstcoin,1869936.0,0.00093363,firstcoin,2.32,4.79,-10.63,,24953738.0,FRST,110000000.0,13.3447,338721.0,6,"January 11, 2018, 08:05:27 PM",,,,,,
flappycoin,,0.000000001,flappycoin,21.05,-27.87,-1.16,,,FLAP,80055713804.0,0.0000180676,10547.5,0,0,,,,,,
flash,900000000.0,0.00000910,flash,-2.68,-4.41,54.74,900000000.0,116983800.0,FLASH,900000000.0,0.129982,278041.0,27,"January 10, 2018, 04:38:24 PM",Scrypt,POW,Cryptopia,,,
flavorcoin,20898106.0,0.00000044,flavorcoin,-0.2,14.64,29.0,,131115.0,FLVR,20898106.0,0.006274,110.358,20,"December 19, 2017, 05:00:29 AM",,,,,,
flaxscript,5593661.0,0.00000593,flaxscript,-6.27,24.52,75.89,,473889.0,FLAX,5593661.0,0.084719,1007.26,3,"December 03, 2017, 04:00:11 PM",C11,Other,Cryptopia,,,
flik,60123682.0,0.00000947,flik,5.28,25.73,82.53,600000000.0,8177302.0,FLIK,80000000.0,0.136008,78141.7,51,"January 12, 2018, 01:52:30 PM",,,,,,
flixxo,72057791.0,0.00004300,flixxo,-1.46,3.5,55.82,,44227054.0,FLIXX,189151329.0,0.613772,638765.0,48,"January 12, 2018, 10:18:06 PM",,,,Kucoin,,
florincoin,141199400.0,0.00002251,florincoin,2.96,19.52,39.37,160000000.0,45362707.0,FLO,141199400.0,0.321267,886157.0,106,"January 12, 2018, 02:42:35 AM",,,,,,Bittrex
fluttercoin,322214524.0,0.00000104,fluttercoin,1.3,1.27,-21.64,,4806055.0,FLT,322214524.0,0.0149157,44910.7,72,"January 12, 2018, 09:18:30 AM",Scrypt,Hybrid,Cryptopia,,,
flycoin,210806.0,0.0001752,flycoin,1.14,16.69,32.99,,528201.0,FLY,210806.0,2.50563,3425.6,146,"December 18, 2017, 04:44:24 AM",,,,,,
flypme,17638681.0,0.00011971,flypme,7.16,14.94,191.25,,30181194.0,FYP,35277363.0,1.71108,76332.2,44,"January 12, 2018, 10:14:30 PM",,,,,,
foldingcoin,558851270.0,0.00000470,foldingcoin,1.95,10.91,-23.2,,37514512.0,FLDC,1000000000.0,0.0671279,924664.0,103,"January 05, 2018, 09:38:21 PM",,,,,,Bittrex
fonziecoin,,0.00000042,fonziecoin,0.72,6.37,67.03,,,FONZ,,0.00600977,40468.7,34,"December 24, 2017, 01:48:21 AM",SHA256,POS,Cryptopia,,,
footy-cash,4568853.0,0.00014795,footy-cash,1.09,23.62,45.66,,9705432.0,XFT,4568853.0,2.12426,115461.0,16,<b>Today</b> at 01:37:20 AM,POS,POS,Cryptopia,,,
force,107141411.0,0.00000663,force,2.68,36.49,-28.08,200000000.0,10199305.0,FOR,110396555.0,0.0951948,42483.7,24,"<span class=""edited"" title=""Last edit: January 12, 2018, 06:11:17 PM by frances21co"">January 12, 2018, 05:53:42 PM</span>",,,,,,
francs,,0.00001226,francs,-12.63,6.08,35.48,,,FRN,5076511.0,0.17533,2788.9,47,"January 11, 2018, 11:22:00 AM",Scrypt,POW,Cryptopia,,,
franko,930767.0,0.00002498,franko,,0.92,-8.21,,315050.0,FRK,930767.0,0.338484,,98,"January 10, 2018, 08:26:15 PM",,,,,,
frankywillcoin,,0.00000035,frankywillcoin,-0.11,36.94,10.52,100000000.0,,FRWC,,0.0050048,54.1693,2,"December 23, 2017, 08:48:15 PM",,,,,,
frazcoin,9680636.0,0.00000020,frazcoin,,,,20000000.0,30818.0,FRAZ,9880636.0,0.00318344,,28,"January 11, 2018, 07:31:07 PM",,,,,,
freicoin,29866939.0,0.00000086,freicoin,-0.2,5.73,-13.98,,366252.0,FRC,100000000.0,0.0122628,373.78,0,0,SHA256,POW,Cryptopia,,,
fucktoken,51392877.0,0.00000380,fucktoken,-3.8,5.65,122.01,,2800516.0,FUCK,70856019.0,0.0544923,15351.5,50,"January 11, 2018, 11:03:34 PM",,,,,,
fuelcoin,101659216.0,0.00000300,fuelcoin,2.54,43.44,45.95,,4374000.0,FC2,101659216.0,0.0430261,137833.0,38,"November 27, 2017, 03:58:52 PM",,,,,,
fujicoin,1261910472.0,0.00000038,fujicoin,1.59,6.04,62.05,10000000000.0,6841296.0,FJC,1261910472.0,0.00542138,51403.4,60,"January 12, 2018, 02:22:38 AM",Scrypt,POW,Cryptopia,,,
fujinto,65802448.0,0.00000099,fujinto,-8.39,-6.52,-19.23,,935013.0,NTO,400000000.0,0.0142094,87670.1,7,"January 10, 2018, 04:37:03 AM",,,,,,
funcoin,5848581.0,0.00000632,funcoin,-0.78,26.47,-7.49,100000000.0,528744.0,FUNC,100000000.0,0.0904055,14401.5,0,0,,,,,,
fundyourselfnow,850000.0,0.00037697,fundyourselfnow,1.39,-3.11,10.56,,4595559.0,FYN,12500000.0,5.40654,27918.5,64,"January 12, 2018, 10:39:11 AM",,,,,,
funfair,4249873622.0,0.00000999,funfair,1.11,9.18,-13.95,,607557683.0,FUN,10999873621.0,0.142959,21584200.0,24,<b>Today</b> at 12:02:11 AM,,,,,Binance,Bittrex
futcoin,,0.00000024,futcoin,-0.11,26.81,27.78,,,FUTC,,0.00343186,2.85988,3,"November 13, 2017, 08:04:47 PM",,,,,,
futurexe,235421.0,0.00001515,futurexe,0.15,25.18,12.89,,50987.0,FXE,84000000.0,0.216577,1310.38,0,0,,,,,,
fuzzballs,4829945.0,0.00001313,fuzzballs,-11.72,19.43,285.86,,907155.0,FUZZ,4829945.0,0.187819,690350.0,8,"January 12, 2018, 06:41:45 PM",Scrypt,POW,Cryptopia,,,
gaia,24101381.0,0.00000736,gaia,1.3,-32.97,81.24,,2545226.0,GAIA,24101381.0,0.105605,22595.8,100,"December 22, 2017, 12:54:09 PM",POS,POS,Cryptopia,,,
gambit,1200274.0,0.0019585,gambit,1.52,5.98,17.63,,33556411.0,GAM,1200274.0,27.9573,67439.4,0,0,,,,,,Bittrex
game,,0.00001781,game,11.41,5.47,35.9,,,GTC,2000000000.0,0.254586,10323400.0,2,"January 12, 2018, 11:10:36 PM",,,,,,
gamebet-coin,21262780.0,0.00000042,gamebet-coin,-0.09,8.53,62.69,,127167.0,GBT,22262780.0,0.00598073,979.367,187,"July 05, 2016, 08:50:33 PM",,,,,,
gamechain,,0.00000331,gamechain,-9.81,-20.67,,,,GCS,2100000000.0,0.0473627,99957.9,0,0,,,,,,
gamecredits,64355352.0,0.00044959,gamecredits,5.42,13.6,41.47,,413856398.0,GAME,64355352.0,6.4308,9224020.0,164,"January 12, 2018, 09:08:59 PM",Scrypt,POW,Cryptopia,,,Bittrex
gameleaguecoin,,0.00000090,gameleaguecoin,-0.11,-11.94,3.68,,,GML,,0.0128695,93.8742,0,0,,,,,,
gameunits,3472983.0,0.00001898,gameunits,-1.14,22.58,105.01,13000000.0,942748.0,UNITS,3472983.0,0.271452,9832.44,36,"January 12, 2018, 10:47:30 AM",None,POS,Cryptopia,,,
ganjacoin,4451920.0,0.00001200,ganjacoin,,,-0.79,,889151.0,MRJA,4451920.0,0.199723,,23,"January 11, 2018, 09:39:05 PM",,,,,,
gapcoin,12292182.0,0.00000525,gapcoin,0.23,2.43,1.62,,922936.0,GAP,12292182.0,0.0750832,4217.14,84,"January 11, 2018, 01:11:43 AM",Scrypt,POW,Cryptopia,,,
gas,9137582.0,0.00385247,gas,2.82,15.48,29.2,100000000.0,503521877.0,GAS,13802656.0,55.1045,25114400.0,0,0,,,,Kucoin,Binance,
gaycoin,,0.00000871,gaycoin,-0.07,-2.33,-34.04,,,GAY,5670095641.0,0.124524,4132.72,5,"October 17, 2016, 08:09:12 PM",POS,POS,Cryptopia,,,
gbcgoldcoin,11361817.0,0.00000018,gbcgoldcoin,,0.0,34.98,,29882.0,GBC,11361817.0,0.00263,0.0000090000,0,0,,,,,,
gcoin,149832785000,0.000000007,gcoin,,,7.1,,18821695.0,GCN,149832785000,0.000125618,,161,<b>Today</b> at 01:08:07 AM,Scrypt,POW,Cryptopia,,,
geertcoin,5091200.0,0.00000172,geertcoin,-0.8,8.33,58.77,,124538.0,GEERT,5091200.0,0.0244614,3329.78,7,"January 11, 2018, 04:22:07 PM",Scrypt,POW,Cryptopia,,,
genaro-network,,0.00005004,genaro-network,-4.8,-21.05,24.96,,,GNX,675000000.0,0.71518,24651500.0,0,0,,,,,,
genesis-vision,3726781.0,0.00213718,genesis-vision,-0.98,32.27,37.0,,113767068.0,GVT,4436644.0,30.5269,6526740.0,113,"January 12, 2018, 05:38:44 PM",,,,Kucoin,Binance,
genstake,7561891.0,0.00000107,genstake,-48.67,110.74,86.26,,115596.0,G3N,7561891.0,0.0152866,3407.1,22,"January 12, 2018, 04:13:15 PM",,,,,,
geocoin,3381493.0,0.00058501,geocoin,0.39,6.99,-42.16,,28275199.0,GEO,3381493.0,8.36175,558191.0,199,"January 12, 2018, 12:12:05 PM",Qubit,POW,Cryptopia,,,Bittrex
geysercoin,46864.0,0.00003367,geysercoin,0.14,0.28,74.58,4500000.0,22559.0,GSR,599334.0,0.481378,2546.64,29,"January 04, 2018, 03:40:31 AM",,,,,,
gifto,157861327.0,0.00007039,gifto,9.2,39.79,64.15,,158707463.0,GTO,1000000000.0,1.00536,72252000.0,0,0,,,,,Binance,
giga-watt-token,900000.0,0.00015251,giga-watt-token,2.53,48.17,49.91,,1969497.0,WTT,10800000.0,2.18833,18213.5,120,<b>Today</b> at 12:00:20 AM,,,,,,
gimli,80000000.0,0.00000601,gimli,1.39,19.07,51.01,150000000.0,6898416.0,GIM,150000000.0,0.0862302,3732.35,14,"January 10, 2018, 04:34:58 AM",,,,,,
glasscoin,,0.00003900,glasscoin,1.37,17.13,-8.43,,,GLS,5323524.0,0.55757,5575.07,8,"January 06, 2018, 05:31:00 AM",,,,,,
global-business-revolution,,0.00000006,global-business-revolution,-0.11,5.64,71.42,,,GBRC,900096049.0,0.000857965,100.33,0,0,,,,,,
global-currency-reserve,103608533.0,0.00002338,global-currency-reserve,0.83,10.79,-10.14,,34585254.0,GCR,103608533.0,0.333807,374467.0,7,"January 12, 2018, 02:40:43 PM",,,,,,Bittrex
global-tour-coin,29887402.0,0.00000091,global-tour-coin,-0.57,5.82,-25.59,,388557.0,GTC,89786652.0,0.0130007,20003.2,0,0,,,,,,
globalboost-y,13486460.0,0.00000351,globalboost-y,1.05,-13.17,-4.02,,677161.0,BSTY,13486460.0,0.0502104,6836.49,101,"January 08, 2018, 08:57:24 AM",Yescrypt,POW,Cryptopia,,,
globalcoin,65171010.0,0.00000075,globalcoin,-0.2,6.79,-8.31,,696958.0,GLC,65171010.0,0.0106943,16.353,95,"January 12, 2018, 02:16:13 PM",,,,,,
globaltoken,27923600.0,0.00000224,globaltoken,39.89,26.28,110.81,,892840.0,GLT,27923600.0,0.0319744,17938.4,16,"January 08, 2018, 09:44:34 AM",,,,,,
gnosis-gno,1104590.0,0.0264008,gnosis-gno,0.75,16.38,-6.5,,417123008.0,GNO,10000000.0,377.627,3823850.0,22,"January 11, 2018, 11:39:01 PM",None,Asset,Cryptopia,,,Bittrex
gobyte,487601.0,0.0039448,gobyte,3.36,3.95,38.04,31800000.0,27493358.0,GBX,1312588.0,56.3849,602550.0,58,"January 12, 2018, 09:20:30 PM",NeoScrypt,POW,Cryptopia,,,
gold-pressed-latinum,256527.0,0.00012419,gold-pressed-latinum,0.53,4.97,79.38,1000000.0,455140.0,GPL,256527.0,1.77424,2530.85,11,"January 12, 2018, 06:34:46 AM",Scrypt_jane,Hybrid,Cryptopia,,,
gold-reward-token,,0.00005892,gold-reward-token,-2.58,91.26,42.56,,,GRX,20000000.0,0.843113,226593.0,17,"January 11, 2018, 10:43:28 PM",,,,,,
goldblocks,15313949.0,0.00000706,goldblocks,-0.24,-1.44,-22.52,,1546096.0,GB,15313949.0,0.10096,8064.59,90,"January 09, 2018, 09:13:46 AM",,,,,,
goldcoin,40758836.0,0.00003297,goldcoin,3.28,10.39,22.07,72245700.0,19209191.0,GLD,40758836.0,0.471289,387119.0,84,<b>Today</b> at 01:11:40 AM,Scrypt,POW,Cryptopia,,,Bittrex
goldmaxcoin,,0.00000195,goldmaxcoin,-0.11,-38.6,88.83,,,GMX,84078950.0,0.0279293,734.919,0,0,,,,,,
goldpieces,1220161.0,0.00002253,goldpieces,0.6,9.08,25.8,,392739.0,GP,1220161.0,0.321875,1312.36,83,"January 10, 2018, 12:16:53 PM",X11,POS,Cryptopia,,,
goldreserve,17171382.0,0.00000620,goldreserve,1.52,5.7,15.38,40000000.0,1521929.0,XGR,17171382.0,0.0886317,32756.1,0,0,X11,POS,Cryptopia,,,
goldunioncoin,,0.00000471,goldunioncoin,,2.0,32.24,,,GUC,210000000.0,0.0650957,,2,"December 20, 2017, 02:09:56 PM",,,,,,
golem-network-tokens,834262000.0,0.00006531,golem-network-tokens,1.91,14.41,-1.9,,779341698.0,GNT,1000000000.0,0.934169,17931700.0,132,<b>Today</b> at 12:39:14 AM,None,Asset,Cryptopia,,,Bittrex
golfcoin,,0.00000004,golfcoin,-0.16,-3.89,124.79,,,GOLF,1352120000.0,0.000571866,14057.8,13,"January 11, 2018, 05:08:56 PM",,,,,,
golos,124518891.0,0.00002915,golos,2.51,14.14,0.18,,51816420.0,GOLOS,124518891.0,0.416133,230909.0,122,"January 12, 2018, 02:17:45 PM",,,,,,Bittrex
golos-gold,,0.00002781,golos-gold,0.21,19.65,21.46,,,GBG,,0.397923,468569.0,0,0,,,,,,Bittrex
goodomy,457350000.0,0.00000122,goodomy,-4.77,6.89,0.01,,7987846.0,GOOD,888000000.0,0.0174655,8314.14,24,<b>Today</b> at 03:06:31 AM,,,,,,
gpu-coin,40477042.0,0.00000092,gpu-coin,-18.29,4.43,17.38,,533358.0,GPU,51530001.0,0.0131768,11871.0,22,"January 12, 2018, 10:57:17 PM",Scrypt_n,POW,Cryptopia,,,
granitecoin,,0.00000182,granitecoin,0.44,-2.39,-21.95,,,GRN,,0.0260199,2194.55,29,"January 08, 2018, 12:27:34 PM",X11,POW,Cryptopia,,,
grantcoin,43497258.0,0.00000073,grantcoin,-0.41,-49.98,-16.81,,452872.0,GRT,10043497258.0,0.0104115,2774.55,14,"September 15, 2016, 09:49:52 PM",,,,,,
greencoin,3701688641.0,0.00000009,greencoin,0.99,-20.88,8.89,,4881010.0,GRE,3701688641.0,0.00131859,18140.3,0,0,,,,,,
grid,39236491.0,0.00017982,grid,1.41,2.63,13.56,,100780497.0,GRID,300000000.0,2.56854,100611.0,0,0,,,,,,
gridcoin,390312753.0,0.00001235,gridcoin,2.59,10.09,17.39,,68826970.0,GRC,390312753.0,0.176338,784368.0,279,"January 12, 2018, 09:14:42 PM",,,,,,Bittrex
grimcoin,36332122.0,0.00000221,grimcoin,1.29,0.75,68.52,,1147837.0,GRIM,50498860.0,0.0315929,2750.05,25,"January 11, 2018, 11:44:20 PM",,,,,,
groestlcoin,69204539.0,0.00010562,groestlcoin,4.39,23.4,-14.37,105000000.0,104406120.0,GRS,69204539.0,1.50866,3473110.0,259,"January 12, 2018, 11:46:10 PM",Groestl,POW,Cryptopia,,,Bittrex
growers-international,1173750.0,0.00022238,growers-international,7.28,-6.97,6.93,,3745235.0,GRWI,1173750.0,3.19083,152985.0,44,"January 11, 2018, 01:06:11 PM",Scrypt,POW,Cryptopia,,,
guccionecoin,20285537.0,0.00000063,guccionecoin,-0.2,12.9,19.4,,182230.0,GCC,23775537.0,0.00898323,132.543,19,"December 18, 2017, 01:32:16 PM",,,,,,
gulden,390209000.0,0.00003328,gulden,-2.78,30.38,81.04,,185473752.0,NLG,461709000.0,0.475319,6781880.0,688,"January 12, 2018, 09:34:38 PM",,,,,,Bittrex
guncoin,199451728.0,0.00000100,guncoin,-4.21,29.1,259.4,,2851721.0,GUN,199451728.0,0.0142978,6496.88,103,<b>Today</b> at 03:15:07 AM,NeoScrypt,POW,Cryptopia,,,
guppy,75000000.0,0.00008762,guppy,1.44,23.83,1.45,,93809250.0,GUP,98855150.0,1.25079,12286800.0,0,0,,,,,,Bittrex
guts-tickets,,0.00046626,guts-tickets,2.83,32.45,,,,GET,33368773.0,6.67166,127410.0,20,<b>Today</b> at 01:33:19 AM,,,,,,
gxshares,60000000.0,0.00063742,gxshares,0.34,-5.61,17.42,100000000.0,547047000.0,GXS,100000000.0,9.11745,26365900.0,5,"January 09, 2018, 08:10:06 AM",,,,,Binance,
hacken,,0.00054997,hacken,3.41,6.06,,,,HKN,5600000.0,7.86951,277308.0,151,"January 12, 2018, 09:50:24 PM",,,,,,
halcyon,5419940.0,0.00008856,halcyon,8.99,68.51,632.76,,6884028.0,HAL,5419940.0,1.27013,80911.7,78,"January 11, 2018, 01:06:57 PM",NeoScrypt,Hybrid,Cryptopia,,,
halloween-coin,,0.00000007,halloween-coin,-0.24,10.73,51.98,1500000000.0,,HALLO,264665845.0,0.000975378,2227.04,13,"January 08, 2018, 01:23:14 AM",,,,,,
happy-creator-coin,,0.00000009,happy-creator-coin,-0.11,6.29,37.74,,,HCC,,0.00128695,548.542,0,0,,,,,,
happycoin,13354886.0,0.00001119,happycoin,9.55,30.35,26.36,100000000.0,2144995.0,HPC,13354886.0,0.160615,15251.5,8,"January 11, 2018, 08:35:26 AM",,,,,,
harmonycoin-hmc,561235.0,0.00000101,harmonycoin-hmc,-16.23,16.24,8.21,67130000000.0,8064.0,HMC,33565561235.0,0.0143687,2495.3,0,0,,,,,,
