,MktCapBTC,MktCapUSD,Names,PricesBTC,PricesUSD,Rank,TotalSupply,Vol24BTC,Vol24USD,CirculatingSupply
bytecoin-bcn,75792.1958871,1124516989.79,bytecoin-bcn,4.13592e-07,0.0061364,37,1.83253534612e+11,656.194,9735840.0,1.83253534612e+11
hshare,71607.6919452,1062428260.77,hshare,0.00168678,25.0264,38,42452300.8011,15592.8,231348000.0,42452300.8011
dogecoin,68951.2311094,1023017677.76,dogecoin,6.12244e-07,0.00908376,39,1.12620509322e+11,4468.88,66304000.0,1.12620509322e+11
komodo,68563.9562618,1017271449.29,komodo,0.000659968,9.79183,40,103889819.297,772.381,11459700.0,103889819.297
siacoin,64554.5580327,957786533.257,siacoin,2.05613e-06,0.0305065,42,31396146174.0,2273.38,33729800.0,31396146174.0
ark,64175.3510154,952158008.132,ark,0.000496593,7.36786,43,129231284.0,1322.9,19627600.0,97981284.0
byteball,53500.7,793781000.0,byteball,0.0535007,793.781,44,1000000.0,185.038,2745380.0,645222.052938
gxshares,52728.8,782328000.0,gxshares,0.000527288,7.82328,45,100000000.0,1762.08,26143700.0,40510000.0
decred,47569.8297589,705784807.91,decred,0.00688854,102.204,46,6905647.60586,401.965,5963880.0,6485647.60586
digibyte,46417.8849938,688693316.801,digibyte,4.81278e-06,0.0714063,47,9644713656.94,3405.6,50528200.0,9644713656.94
nxt,43608.8449467,647016298.117,nxt,4.36525e-05,0.647664,48,998999941.508,5479.03,81291400.0,998999941.508
pivx,40936.0368601,607358629.728,pivx,0.00074068,10.9893,49,55268181.7521,384.924,5711050.0,55268181.7521
factom,39420.3837364,584873296.27,factom,0.00450771,66.8801,50,8745102.0,3409.26,50582600.0,8745102.0
monacoin,37163.9021955,551394883.21,monacoin,0.000658159,9.765,52,56466449.8935,770.949,11438400.0,56466449.8935
reddcoin,35107.600991,520884722.2,reddcoin,1.22279e-06,0.0181423,54,28711063216.9,8079.84,119879000.0,28711063216.9
xtrabytes,33703.02,500045650.0,xtrabytes,5.18508e-05,0.769301,55,650000000.0,743.479,11030900.0,430000000.0
library-credit,33127.7787711,491510998.088,library-credit,6.43474e-05,0.954711,56,514826998.0,579.882,8603610.0,127926995.001
cryptonex,33023.0708774,489956970.93,cryptonex,0.000310126,4.60128,57,106482755.001,15.4115,228658.0,45045129.3078
smartcash,32984.2442226,489381009.127,smartcash,2.8752e-05,0.426588,58,1147198254.82,69.2236,1027060.0,546153975.62
experience-points,32064.9445852,475742049.474,experience-points,1.30935e-07,0.00194266,59,2.4489208069e+11,1066.61,15825200.0,2.06870844449e+11
bitcoindark,32016.1099698,475017891.115,bitcoindark,0.0248406,368.556,60,1288862.18408,35.5355,527235.0,1288862.18408
zcoin,31274.3165261,464012470.583,zcoin,0.0082227,121.999,61,3803412.08193,959.636,14238000.0,3803412.08193
bitcore,31127.1326002,461828630.703,bitcore,0.00186057,27.605,62,16729890.625,442.029,6558310.0,2185469.45314
harmonycoin-hmc,30855.779911,457800689.685,harmonycoin-hmc,9.19269e-07,0.013639,63,33565561235.0,0.328584,4875.15,561235.032413
electroneum,30488.7071383,452355624.122,electroneum,5.86856e-06,0.0870708,64,5195262064.0,384.927,5711090.0,4997507466.0
syscoin,28515.5953868,423080855.461,syscoin,5.38037e-05,0.798276,65,529993204.682,1040.9,15443700.0,529993204.682
achain,26744.0,396796000.0,achain,2.6744e-05,0.396796,67,1000000000.0,283.445,4205430.0,300000000.0
procurrency,22266.760457,330369048.721,procurrency,1.4841e-06,0.0220194,69,15003544543.5,0.284078,4214.81,96359748.68
bitbay,22039.8355039,327001263.138,bitbay,2.18482e-05,0.324158,70,1008771226.19,2899.51,43019600.0,1008771226.19
vertcoin,20340.5623878,301789415.081,vertcoin,0.000480565,7.13006,72,42326350.0,980.606,14549100.0,42326350.0
gamecredits,19332.4764515,286832447.418,gamecredits,0.000300402,4.45701,73,64355352.0,598.104,8873970.0,64355352.0
lykke,18398.481038,272973843.73,lykke,1.43102e-05,0.212317,74,1285690000.0,10.6474,157974.0,265192497.24
hollywoodcoin,17826.6427334,264491438.116,hollywoodcoin,0.000880267,13.0604,75,20251404.1006,26.9836,400351.0,896126.100622
