AvailableSupply,BTCPrice,CMCname,Change1h,Change24h,Change7d,MaxSupply,Mcap,Symbol,TotalSupply,USDPrice,Vol24h,bctpages,Date,Time,,,,
17898399,0.00002875,digitalprice,14.45,127.93,155.76,,8301975,DP,25398400,0.463839,473722,32,1/7/2018,08:44:29 PM,,,,
121830973,0.00003036,monetaryunit,4.23,0.29,32.22,4000000000,59958261,MUE,121830973,0.492143,1700470,198,1/7/2018,08:44:16 AM,,,,
,0.00008016,magnetcoin,1.38,3.09,67.17,,,MAGN,5716988,1.29747,,2,1/7/2018,08:44:04 PM,,,,
430000000,0.00004088,xtrabytes,-0.12,-9.73,75.78,650000000,284554650,XBY,650000000,0.661755,2178280,352,1/7/2018,08:43:59 PM,,,,
15098057,0.00004094,adshares,-1.24,-6.65,76.46,,9970863,ADST,15098057,0.660407,96881.9,27,1/7/2018,08:43:58 PM,,,,
6004253,0.000043,bitradio,0.17,-11.51,118.88,,4164195,BRO,11004256,0.693541,11213.6,99,1/7/2018,08:43:36 PM,,,,
14511298633,0.00001059,verge,-0.97,-3.68,-18.49,16555000000,2479153792,XVG,14511298633,0.170843,247183000,477,1/7/2018,08:43:12 PM,,,,
2.51844E+12,0.00000002,paccoin,0.27,-5.83,1958.65,,704763620,PAC,3.42396E+12,0.000279841,9002810,72,1/7/2018,08:43:11 PM,,,,
37004027,0.00370898,populous,-0.35,43.21,45.01,53252246,2213913925,PPT,53252246,59.829,9584270,228,1/7/2018,08:42:43 PM,,,,
31396146174,0.00000554,siacoin,-0.41,-11.99,194.6,,2812874924,SC,31396146174,0.089593,227143000,371,1/7/2018,08:42:40 PM,,,,
99976323,0.00000088,coin2-1,-7.33,12.19,140.57,,1424773,C2,99976323,0.0142511,8873.97,147,1/7/2018,08:42:08 PM,,,,
65000000,0.00631613,neo,0.63,2.82,35.45,,6645145000,NEO,100000000,102.233,196119000,137,1/7/2018,08:41:41 PM,,,,
100000000,0.00079182,waves,-0.01,2.51,2.21,,1281650000,WAVES,100000000,12.8165,60000400,79,1/7/2018,08:41:40 PM,,,,
446303,0.00063069,zero,2.75,41.6,128.75,,4539924,ZER,446303,10.1723,2091280,39,1/7/2018,08:40:47 PM,,,,
2118796,0.00021886,denarius-dnr,-3.84,10.07,51.03,10000000,7480791,DNR,2118796,3.53068,279563,142,1/7/2018,08:40:04 PM,,,,
2242500,0.00109911,hush,0.94,151.57,150.22,21000000,39956865,HUSH,2242500,17.818,6511060,49,1/7/2018,08:40:01 PM,,,,
31412672,0.00009394,heat-ledger,-7.17,13.03,81.7,,47839301,HEAT,31412672,1.52293,72446.3,29,1/7/2018,08:39:20 PM,,,,
10482012,0.000026,kekcoin,-9.09,92.46,150.81,21000000,4396470,KEK,11482012,0.41943,304141,52,1/7/2018,08:38:31 PM,,,,
1220085,0.00001802,acoin,0.8,-1.28,116.73,,355026,ACOIN,1220085,0.290985,2433.24,31,1/7/2018,08:38:24 PM,,,,
,0.00000071,sharkcoin,12.84,43.66,146.36,,,SAK,,0.0114443,9279.28,12,1/7/2018,08:36:36 PM,,,,
6174619,0.0232337,bitconnect,-0.81,-14.6,-9.43,28000000,2314117673,BCC,9452962,374.779,21293300,224,1/7/2018,08:36:16 PM,,,,
1220161,0.00002138,goldpieces,-0.12,19.24,142.95,,421447,GP,1220161,0.345403,4079.45,83,1/7/2018,08:36:09 PM,,,,
900000,0.00009694,giga-watt-token,1.38,6.29,-4.97,,1406871,WTT,10800000,1.56319,41108.8,118,1/7/2018,08:35:56 PM,,,,
359600000,0.00003883,sonm,0.56,-4.87,69.74,,226017950,SNM,444000000,0.628526,29327000,437,1/7/2018,08:35:09 PM,,,,
1008874626,0.00001575,bitbay,-1.32,-5.56,45.34,,257211577,BAY,1008874626,0.254949,9969270,301,1/7/2018,08:33:04 PM,,,,
16474625,0.00000693,votecoin,5.99,162.11,1072.15,220000000,1840957,VOT,16474625,0.111745,34061.3,35,1/7/2018,08:32:21 PM,,,,
105797,0.00048448,monkey-project,12.03,51.91,57.2,,826503,MONK,505797,7.81215,147842,26,1/7/2018,08:32:02 PM,,,,
1.83254E+11,0.00000092,bytecoin-bcn,1.73,-6.72,155.14,1.8447E+11,2739457089,BCN,1.83254E+11,0.014949,32433700,340,1/7/2018,08:31:48 PM,,,,
3500000,0.00006573,sugar-exchange,10.38,115.44,1989.22,,3710245,SGR,80000000,1.06007,136131,76,1/7/2018,08:31:17 PM,,,,
62131190,0.00001256,encryptotel,3.53,-27.45,-21.83,,12626238,ETT,77663987,0.203219,11397.8,213,1/7/2018,08:30:10 PM,,,,
,0.00244778,triaconta,16.32,12.78,65.47,,,TRIA,276001,39.4433,10610.2,42,1/7/2018,08:29:44 AM,,,,
2827061,0.0005517,sumokoin,-1.27,74.06,3.75,88888888,25230591,SUMO,11715950,8.92467,1403710,157,1/7/2018,08:29:17 PM,,,,
